simple_name	sample_id	custom_fwd_qseqids	refseq_fwd_qseqids	common_fwd_qseqids	common_fwd_list	custom_rev_qseqids	refseq_rev_qseqids	common_rev_qseqids	common_rev_list
Human alphaherpesvirus 1	vir16	32	0	32	['NC_001806.2 Human herpesvirus 1 strain 17, complete genome', 'NC_023677.1 Chimpanzee alpha-1 herpesvirus strain 105640, complete genome', 'NC_001798.2 Human herpesvirus 2 strain HG52, complete genome', 'NC_007653.1 Papiine herpesvirus 2, complete genome', 'NC_006560.1 Cercopithecine herpesvirus 2, complete genome', 'NC_004812.1 Macacine herpesvirus 1, complete genome', 'NC_076512.1 Bovine alphaherpesvirus 2 strain C1Z FZR, complete genome', 'NC_043048.1 Bovine herpesvirus type 2 glycoprotein B gene, complete cds', 'NC_076164.1 Macacine alphaherpesvirus 1 isolate 8100812, complete genome']	36	0	32	['NC_001806.2 Human herpesvirus 1 strain 17, complete genome', 'NC_004812.1 Macacine herpesvirus 1, complete genome', 'NC_076165.1 Macacine alphaherpesvirus 1 isolate KQ, complete genome', 'NC_076164.1 Macacine alphaherpesvirus 1 isolate 8100812, complete genome', 'NC_006560.1 Cercopithecine herpesvirus 2, complete genome', 'NC_007653.1 Papiine herpesvirus 2, complete genome', 'NC_023677.1 Chimpanzee alpha-1 herpesvirus strain 105640, complete genome', 'NC_001798.2 Human herpesvirus 2 strain HG52, complete genome', 'NC_034446.1 Ateline alphaherpesvirus 1 isolate Lennette, complete genome']
Human betaherpesvirus 5	vir1	575	0	0	[]	40	0	0	[]
Human betaherpesvirus 5	vir10	8	0	0	[]	6	0	0	[]
Human betaherpesvirus 5	vir11	4	0	0	[]	4	0	0	[]
Human betaherpesvirus 5	vir12	575	0	0	[]	594	0	0	[]
Human betaherpesvirus 5	vir15	7	0	0	[]	6	0	0	[]
Human betaherpesvirus 5	vir19	40	0	0	[]	39	0	0	[]
Human betaherpesvirus 5	vir8	6	0	0	[]	5	0	0	[]
Human betaherpesvirus 6	vir1	0	0	0	[]	0	0	0	[]
Human betaherpesvirus 6	vir16	15	13	15	['NC_000898.1 Human herpesvirus 6B, complete genome', 'NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102']	15	13	15	['NC_000898.1 Human herpesvirus 6B, complete genome', 'NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102']
Human betaherpesvirus 6	vir2	4	4	4	['NC_000898.1 Human herpesvirus 6B, complete genome', 'NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102']	0	0	0	[]
Human betaherpesvirus 7	vir1	16	0	16	['NC_001716.2 Human herpesvirus 7, complete genome']	6	0	6	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir10	30	0	30	['NC_001716.2 Human herpesvirus 7, complete genome']	30	0	30	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir11	61	0	61	['NC_001716.2 Human herpesvirus 7, complete genome']	61	0	61	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir12	16	0	16	['NC_001716.2 Human herpesvirus 7, complete genome']	16	0	16	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir15	179	0	177	['NC_001716.2 Human herpesvirus 7, complete genome']	178	0	178	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']
